category,name,waibao,zhengbian,total
产品项目类,产品序列,0,149,149
产品项目类,产研项目管理序列,1,24,25
产品项目类,服务支持序列,19,6,25
产品项目类,交付产品管理序列,0,5,5
产品项目类,交付项目管理序列,0,57,57
产品项目类,教育序列,0,2,2
经营管理类,经营管理序列,0,152,152
市场营销类,B端销售序列,8,166,174
市场营销类,C端销售序列,83,86,169
市场营销类,产品运营序列,77,145,222
市场营销类,市场序列,0,7,7
市场营销类,销售支持序列,4,9,13
市场营销类,咨询序列,0,74,74
研发技术类,AI工程序列,0,21,21
研发技术类,SRE序列,0,4,4
研发技术类,安全序列,8,3,11
研发技术类,大数据序列,0,65,65
研发技术类,技术支持序列,58,21,79
研发技术类,软件测试序列,73,116,189
研发技术类,软件开发序列,48,452,500
研发技术类,设计序列,22,67,89
研发技术类,研究算法序列,0,117,117
研发技术类,硬件开发序列,2,15,17
研发技术类,运维序列,22,9,31
研发技术类,质量管理序列,0,2,2
研发技术类,资源序列,10,14,24
职能专业类,财务序列,5,21,26
职能专业类,法律与知识产权序列,0,1,1
职能专业类,供应链管理序列,0,2,2
职能专业类,品牌与公关序列,6,54,60
职能专业类,人力资源序列,10,27,37
职能专业类,通用序列,13,15,28
职能专业类,行政序列,8,7,15
职能专业类,运营管理序列,8,33,41
职能专业类,政府公共事务序列,0,1,1
