line,annual_rate,active_rate,passive_rate,headcount,leave_total,active_count,passive_count,probation_rate,one_year_rate,high_perf_rate,high_level_rate
消费者BG,0.03,0.02,0.01,1949,61,35,26,0.08,0.06,0.01,0.02
AI营销,0.04,0.02,0.03,212,10,4,6,0.05,0.07,0.01,0.02
数据增值,0.04,0.02,0.02,51,2,1,1,0,0.17,0,0
商业共享,0.02,0.02,0,103,2,2,0,0,0,0,0.08
开发者生态,0,0,0,75,0,0,0,0,0,0,0
星火APP,0.05,0.05,0,20,1,1,0,0,0.33,0,0.14
虚拟数字人,0.04,0.04,0,65,3,3,0,0.09,0.16,0,0
AI交互,0.01,0,0.01,125,1,0,1,0.14,0.05,0,0
寰语,0,0,0,143,0,0,0,0,0,0,0
海外市场部,0,0,0,48,0,0,0,0,0,0,0
海外产品部,0,0,0,31,0,0,0,0,0,0,0
数字员工,0.04,0.04,0,84,4,4,0,0.1,0.04,0,0
讯飞九智,0.04,0,0.04,22,1,0,1,0,0.12,0,0
听见会议办公,0.01,0,0.01,100,1,0,1,0.2,0.07,0,0
听见SaaS平台,0.06,0.01,0.05,73,5,1,4,0.5,0.17,0,0
听见智慧传媒,0,0,0,26,0,0,0,0,0,0,0
翻译软件,0.08,0.08,0,24,2,2,0,0,0,0,0
同传,0,0,0,35,0,0,0,0,0,0,0
穿戴设备,0.06,0,0.06,32,2,0,2,0,0,0,0
手持设备,0.02,0,0.02,53,1,0,1,0,0,0,0
C端硬件海外营销部,0.17,0.1,0.07,25,5,3,2,0,0,0,0.2
读写科技,0.03,0.02,0.01,124,4,3,1,0.12,0.08,0,0
C端硬件创新中心,0.03,0,0.03,66,2,0,2,1,0.17,0,0
C端销售中心,0.02,0.02,0,49,1,1,0,0,0,0,0.05
数字娱乐,0.06,0.03,0.02,85,5,3,2,0.3,0.1,0,0.04
讯飞输入法,0.04,0.04,0,81,3,3,0,0.5,0.09,0.04,0
公共研发部,0.02,0.01,0.01,81,2,1,1,0,0,0,0.05
平台市场部,0.08,0.08,0,22,2,2,0,0,0,0.12,0
运作支持部,0,0,0,39,0,0,0,0,0,0,0
人力资源部,0.07,0.04,0.04,26,2,1,1,0,0.14,0,0
战略与品牌部,0,0,0,17,0,0,0,0,0,0,0
C端软件办公室,0,0,0,2,0,0,0,0,0,0,0
BG高管,0,0,0,3,0,0,0,0,0,0,0
停薪留职,0,0,0,7,0,0,0,0,0,0,0
