group,line,m1_in,m1_join,m1_in_bg,m1_out,m1_active,m1_passive,m1_out_bg,m2_in,m2_join,m2_in_bg,m2_out,m2_active,m2_passive,m2_out_bg,m3_in,m3_join,m3_in_bg,m3_out,m3_active,m3_passive,m3_out_bg
AI营销业务群,AI营销,4,4,0,4,2,2,0,4,4,0,3,1,2,0,6,5,1,4,1,3,0
AI营销业务群,数据增值,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0
开放平台业务群,商业共享,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
开放平台业务群,开发者生态,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
开放平台业务群,星火APP,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
开放平台业务群,虚拟数字人,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,0
开放平台业务群,AI交互,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0
开放平台业务群,寰语,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
开放平台业务群,海外市场部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
开放平台业务群,海外产品部,6,6,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0
企业数字化业务群,数字员工,2,2,0,2,2,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,0
企业数字化业务群,讯飞九智,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
听见科技,听见会议办公,3,3,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0
听见科技,听见SaaS平台,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0
听见科技,听见智慧传媒,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI翻译业务群,同传,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI翻译业务群,翻译软件,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AI翻译业务群,手持设备,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AI翻译业务群,穿戴设备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
读写科技,读写科技,0,0,0,2,2,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0
C端销售中心,C端销售中心,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
AI文娱业务群,数字娱乐,1,1,0,3,1,1,1,0,0,0,2,0,2,0,4,3,1,2,2,0,0
AI文娱业务群,讯飞输入法,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
平台与公共,公共研发部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0
平台与公共,平台市场部,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
平台与公共,运作支持部,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
平台与公共,人力资源部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0
平台与公共,C端软件办公室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
平台与公共,战略与品牌部,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
平台与公共,BG高管,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
停薪留职,停薪留职,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C端硬件创新中心,C端硬件创新中心,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0
C端硬件海外营销部,C端硬件海外营销部,0,0,0,2,0,1,1,1,1,0,1,1,0,0,1,1,0,3,2,1,0
